+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 54    | 0   | 0    | 0   | 54  | 0   | GET    | /api/app/nearby-chairs                | 4.324 | 10.040 | 520.156  | 9.633 | 10.024 | 10.032 | 10.040 | 1.335  | 0.000      | 0.000      | 0.000       | 0.000      |
| 27    | 0   | 1    | 0   | 26  | 0   | GET    | /api/owner/chairs                     | 0.704 | 10.024 | 257.104  | 9.522 | 10.012 | 10.024 | 10.024 | 1.861  | 0.000      | 19014.000  | 19014.000   | 704.222    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                       | 7.544 | 7.544  | 7.544    | 7.544 | 7.544  | 7.544  | 7.544  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods              | 4.472 | 5.516  | 47.988   | 4.799 | 5.440  | 5.516  | 5.516  | 0.415  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                   | 0.068 | 6.360  | 65.400   | 3.270 | 5.840  | 5.864  | 6.360  | 2.447  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/coordinate                 | 0.088 | 6.284  | 43.032   | 2.152 | 5.500  | 6.020  | 6.284  | 2.082  | 29.000     | 29.000     | 580.000     | 29.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                     | 0.564 | 0.564  | 0.564    | 0.564 | 0.564  | 0.564  | 0.564  | 0.000  | 9190.000   | 9190.000   | 9190.000    | 9190.000   |
| 57    | 0   | 57   | 0   | 0   | 0   | GET    | /api/app/rides                        | 0.012 | 1.372  | 26.164   | 0.459 | 0.852  | 1.144  | 1.372  | 0.304  | 12.000     | 2158.000   | 4582.000    | 80.386     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                      | 0.440 | 0.440  | 0.440    | 0.440 | 0.440  | 0.440  | 0.440  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 4053  | 0   | 4033 | 0   | 20  | 0   | GET    | /api/chair/notification               | 0.004 | 5.608  | 1122.196 | 0.277 | 0.480  | 0.616  | 1.008  | 0.349  | 0.000      | 33.000     | 133089.000  | 32.837     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/users                        | 0.012 | 0.020  | 0.156    | 0.016 | 0.020  | 0.020  | 0.020  | 0.003  | 86.000     | 86.000     | 860.000     | 86.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                     | 0.012 | 0.020  | 0.296    | 0.015 | 0.020  | 0.020  | 0.020  | 0.003  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                     | 0.012 | 0.012  | 0.060    | 0.012 | 0.012  | 0.012  | 0.012  | 0.000  | 125.000    | 125.000    | 625.000     | 125.000    |
| 4     | 0   | 4    | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare         | 0.004 | 0.012  | 0.040    | 0.010 | 0.012  | 0.012  | 0.012  | 0.003  | 26.000     | 29.000     | 109.000     | 27.250     |
| 1910  | 0   | 1889 | 0   | 0   | 21  | GET    | /api/internal/matching                | 0.004 | 3.496  | 18.944   | 0.010 | 0.008  | 0.012  | 0.096  | 0.083  | 0.000      | 166.000    | 3001.000    | 1.571      |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js        | 0.000 | 0.015  | 0.076    | 0.001 | 0.004  | 0.007  | 0.015  | 0.002  | 0.000      | 184569.000 | 2953104.000 | 30761.500  |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /images/town.svg                      | 0.000 | 0.005  | 0.005    | 0.000 | 0.000  | 0.000  | 0.005  | 0.001  | 0.000      | 128735.000 | 1416085.000 | 21785.923  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-BkJsE9q1.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1496.000   | 1496.000   | 1496.000    | 1496.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-C7CZBETH.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2244.000   | 2244.000   | 2244.000    | 2244.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-DGKaubqO.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1495.000   | 1495.000   | 1495.000    | 1495.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/chair-PB3Jm0Ii.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2008.000   | 2008.000   | 2008.000    | 2008.000   |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/get-cookie-value-B3QhECDc.js  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 110.000    | 1760.000    | 18.333     |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/index-9ZhTBp7q.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 60305.000  | 964880.000  | 10050.833  |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /assets/frame-CJ9SHS1U.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 344.000    | 3784.000    | 58.215     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/manifest-2155a205.js          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 9192.000   | 9192.000   | 9192.000    | 9192.000   |
| 6     | 0   | 6    | 0   | 0   | 0   | GET    | /assets/route-CJUF4eR6.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1576.000   | 1576.000   | 9456.000    | 1576.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /apple-touch-icon-180x180.png         | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1020.000   | 1020.000   | 1020.000    | 1020.000   |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /assets/client-context-C6wEaUbS.js    | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2262.000   | 24882.000   | 382.800    |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/root-BoSp76zW.css             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 26579.000  | 425264.000  | 4429.833   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-Ckv8UtcK.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1148.000   | 1148.000   | 1148.000    | 1148.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-D-xfm-4G.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 388.000    | 388.000    | 388.000     | 388.000    |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /images/buildings5.svg                | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 9858.000   | 108438.000  | 1668.277   |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /assets/route-B_Zm-GyU.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2687.000   | 29557.000   | 454.723    |
| 16    | 0   | 16   | 0   | 0   | 0   | GET    | /assets/form-frame-AzQ8YT1a.js        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 824.000    | 824.000    | 13184.000   | 824.000    |
| 32    | 0   | 6    | 26  | 0   | 0   | GET    | /assets/owner-context-DCgOhQtd.js     | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 1077.000   | 6462.000    | 201.938    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/post-message-C3RbgkUr.js      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 367.000    | 367.000    | 367.000     | 367.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-Bu9MIazC.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 10479.000  | 10479.000  | 10479.000   | 10479.000  |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /images/buildings3.svg                | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 23793.000  | 261723.000  | 4026.508   |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /images/house1.svg                    | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2903.000   | 31933.000   | 491.277    |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/root-JpS3BGeV.js              | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 27925.000  | 446800.000  | 4654.167   |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/date-input-Br46mw6i.js        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 425.000    | 425.000    | 4675.000    | 425.000    |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /assets/api-base-url-Bd0x18OB.js      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 26.000     | 286.000     | 4.400      |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/entry.client-BwsCJ-uh.js      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 4135.000   | 66160.000   | 689.167    |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/jsx-runtime-56DGgGmo.js       | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 8107.000   | 129712.000  | 1351.167   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/price-D-o-ix3Y.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1793.000   | 1793.000   | 1793.000    | 1793.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-CNt_mqIX.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 26045.000  | 26045.000  | 26045.000   | 26045.000  |
| 65    | 0   | 11   | 54  | 0   | 0   | GET    | /images/house2.svg                    | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 6430.000   | 70730.000   | 1088.154   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-logo.svg                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 4749.000   | 4749.000   | 4749.000    | 4749.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-qjNoFN43.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2937.000   | 2937.000   | 2937.000    | 2937.000   |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/bundle-mjs-Dnoi3Axr.js        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 19912.000  | 318592.000  | 3318.667   |
| 96    | 0   | 16   | 80  | 0   | 0   | GET    | /assets/isuride-CWZY8A89.js           | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 834.000    | 13344.000   | 139.000    |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/responses-Cu7_GOWP.js         | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 350.000    | 350.000    | 3850.000    | 350.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/route-Bhv1gox0.js             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2361.000   | 2361.000   | 2361.000    | 2361.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-bg.png                    | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 549793.000 | 549793.000 | 549793.000  | 549793.000 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/get-initial-data-vd1rP8TD.js  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1757.000   | 1757.000   | 1757.000    | 1757.000   |
| 70    | 0   | 16   | 54  | 0   | 0   | GET    | /assets/text-DfCqYLRl.js              | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 505.000    | 8080.000    | 115.429    |
