+-------+-----+------+-----+-----+------+--------+----------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX  | METHOD |                        URI                         |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+------+--------+----------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 96    | 0   | 2    | 0   | 86  | 8    | GET    | /api/app/nearby-chairs                             | 0.376 | 10.028 | 863.680  | 8.997 | 10.016 | 10.024 | 10.028 | 2.526  | 0.000      | 200.000    | 1570.000    | 16.354     |
| 2     | 0   | 2    | 0   | 0   | 0    | POST   | /api/initialize                                    | 7.196 | 9.036  | 16.232   | 8.116 | 9.036  | 9.036  | 9.036  | 0.920  | 17.000     | 17.000     | 34.000      | 17.000     |
| 84    | 0   | 2    | 0   | 45  | 37   | GET    | /api/owner/chairs                                  | 0.004 | 10.016 | 458.756  | 5.461 | 10.008 | 10.012 | 10.016 | 4.861  | 0.000      | 19007.000  | 44141.000   | 525.488    |
| 20    | 0   | 20   | 0   | 0   | 0    | POST   | /api/app/payment-methods                           | 0.332 | 2.472  | 31.944   | 1.597 | 2.144  | 2.156  | 2.472  | 0.612  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0    | POST   | /api/app/rides                                     | 1.412 | 1.412  | 1.412    | 1.412 | 1.412  | 1.412  | 1.412  | 0.000  | 52.000     | 52.000     | 52.000      | 52.000     |
| 40    | 0   | 40   | 0   | 0   | 0    | POST   | /api/chair/activity                                | 0.092 | 2.880  | 47.040   | 1.176 | 2.460  | 2.480  | 2.880  | 1.004  | 0.000      | 0.000      | 0.000       | 0.000      |
| 80    | 0   | 72   | 0   | 0   | 8    | POST   | /api/chair/coordinate                              | 0.144 | 2.804  | 64.276   | 0.803 | 2.128  | 2.288  | 2.804  | 0.693  | 29.000     | 166.000    | 3416.000    | 42.700     |
| 1     | 0   | 1    | 0   | 0   | 0    | POST   | /api/chair/rides/01JWB6EJY7CBW3V17VSAMKBHWS/status | 0.608 | 0.608  | 0.608    | 0.608 | 0.608  | 0.608  | 0.608  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /api/owner/sales?                                  | 0.240 | 0.244  | 0.484    | 0.242 | 0.244  | 0.244  | 0.244  | 0.002  | 9183.000   | 9183.000   | 18366.000   | 9183.000   |
| 222   | 0   | 102  | 0   | 0   | 120  | GET    | /api/app/rides                                     | 0.012 | 1.628  | 48.464   | 0.218 | 0.668  | 0.892  | 1.152  | 0.318  | 12.000     | 2158.000   | 28940.000   | 130.360    |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /api/owner/sales                                   | 0.204 | 0.208  | 0.412    | 0.206 | 0.208  | 0.208  | 0.208  | 0.002  | 9017.000   | 9017.000   | 18034.000   | 9017.000   |
| 10134 | 0   | 5874 | 0   | 17  | 4243 | GET    | /api/chair/notification                            | 0.004 | 2.516  | 1783.836 | 0.176 | 0.440  | 0.552  | 0.872  | 0.220  | 0.000      | 258.000    | 906471.000  | 89.448     |
| 239   | 0   | 23   | 0   | 0   | 216  | GET    | /api/app/notification                              | 0.000 | 1.700  | 24.712   | 0.103 | 0.352  | 1.032  | 1.492  | 0.321  | 166.000    | 435.000    | 45669.000   | 191.084    |
| 9     | 0   | 9    | 0   | 0   | 0    | POST   | /api/app/rides/estimated-fare                      | 0.008 | 0.184  | 0.260    | 0.029 | 0.184  | 0.184  | 0.184  | 0.055  | 26.000     | 29.000     | 247.000     | 27.444     |
| 40    | 0   | 40   | 0   | 0   | 0    | POST   | /api/chair/chairs                                  | 0.008 | 0.028  | 0.608    | 0.015 | 0.020  | 0.020  | 0.028  | 0.004  | 75.000     | 75.000     | 3000.000    | 75.000     |
| 20    | 0   | 20   | 0   | 0   | 0    | POST   | /api/app/users                                     | 0.008 | 0.028  | 0.288    | 0.014 | 0.016  | 0.020  | 0.028  | 0.004  | 86.000     | 86.000     | 1720.000    | 86.000     |
| 10    | 0   | 10   | 0   | 0   | 0    | POST   | /api/owner/owners                                  | 0.008 | 0.016  | 0.112    | 0.011 | 0.016  | 0.016  | 0.016  | 0.003  | 125.000    | 125.000    | 1250.000    | 125.000    |
| 1539  | 0   | 1127 | 0   | 0   | 412  | GET    | /api/internal/matching                             | 0.000 | 1.476  | 15.384   | 0.010 | 0.012  | 0.024  | 0.144  | 0.056  | 0.000      | 166.000    | 67704.000   | 43.992     |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /images/top-bg.png                                 | 0.016 | 0.016  | 0.016    | 0.008 | 0.016  | 0.016  | 0.016  | 0.008  | 549793.000 | 549793.000 | 1099586.000 | 549793.000 |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/components-Cbm4tYXz.js                     | 0.000 | 0.011  | 0.082    | 0.000 | 0.000  | 0.000  | 0.007  | 0.001  | 0.000      | 184569.000 | 5906208.000 | 17897.600  |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /images/town.svg                                   | 0.000 | 0.008  | 0.025    | 0.000 | 0.000  | 0.000  | 0.005  | 0.001  | 0.000      | 128735.000 | 2832170.000 | 11899.874  |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /images/buildings5.svg                             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 9858.000   | 216876.000  | 911.244    |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /images/buildings1.svg                             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 13886.000  | 305492.000  | 1283.580   |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/isuride-CWZY8A89.js                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 834.000    | 26688.000   | 80.873     |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-CNt_mqIX.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 26045.000  | 26045.000  | 52090.000   | 26045.000  |
| 94    | 0   | 12   | 82  | 0   | 0    | GET    | /assets/route-DzrPVuAG.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 1908.000   | 22896.000   | 243.574    |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /assets/api-base-url-Bd0x18OB.js                   | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 26.000     | 572.000     | 2.403      |
| 22    | 0   | 22   | 0   | 0   | 0    | GET    | /assets/route-j6B5sfAw.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 3490.000   | 3490.000   | 76780.000   | 3490.000   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/simulator-context-fn0s3fwv.js              | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2970.000   | 2970.000   | 5940.000    | 2970.000   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /apple-touch-icon-180x180.png                      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1020.000   | 1020.000   | 2040.000    | 1020.000   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /index.html                                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 705.000    | 705.000    | 1410.000    | 705.000    |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /favicon.ico                                       | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 16958.000  | 542656.000  | 1644.412   |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /assets/client-context-C6wEaUbS.js                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2262.000   | 49764.000   | 209.092    |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-qjNoFN43.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2937.000   | 2937.000   | 5874.000    | 2937.000   |
| 22    | 0   | 22   | 0   | 0   | 0    | GET    | /assets/responses-Cu7_GOWP.js                      | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 350.000    | 350.000    | 7700.000    | 350.000    |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/root-BoSp76zW.css                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 26579.000  | 850528.000  | 2577.358   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /images/top-logo.svg                               | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 4749.000   | 4749.000   | 9498.000    | 4749.000   |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/colors-DB9lnfSt.js                         | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 5678.000   | 181696.000  | 550.594    |
| 94    | 0   | 12   | 82  | 0   | 0    | GET    | /assets/owner-context-DCgOhQtd.js                  | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 1077.000   | 12924.000   | 137.489    |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/price-D-o-ix3Y.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1793.000   | 1793.000   | 3586.000    | 1793.000   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-Bhv1gox0.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2361.000   | 2361.000   | 4722.000    | 2361.000   |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /assets/frame-CJ9SHS1U.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 344.000    | 7568.000    | 31.798     |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/post-message-C3RbgkUr.js                   | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 367.000    | 367.000    | 734.000     | 367.000    |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /assets/storage-Coaj7Roq.js                        | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 711.000    | 15642.000   | 65.723     |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /images/buildings2.svg                             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 23825.000  | 524150.000  | 2202.311   |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /images/buildings3.svg                             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 23793.000  | 523446.000  | 2199.353   |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/bundle-mjs-Dnoi3Axr.js                     | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 19912.000  | 637184.000  | 1930.861   |
| 22    | 0   | 22   | 0   | 0   | 0    | GET    | /assets/date-input-Br46mw6i.js                     | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 425.000    | 425.000    | 9350.000    | 425.000    |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/entry.client-BwsCJ-uh.js                   | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 4135.000   | 132320.000  | 400.970    |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/index-9ZhTBp7q.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 60305.000  | 1929760.000 | 5847.758   |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/jsx-runtime-56DGgGmo.js                    | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 8107.000   | 259424.000  | 786.133    |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-BE5HJ0d6.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 3303.000   | 3303.000   | 6606.000    | 3303.000   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-D-xfm-4G.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 388.000    | 388.000    | 776.000     | 388.000    |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/root-JpS3BGeV.js                           | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 27925.000  | 893600.000  | 2707.879   |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /assets/route-B_Zm-GyU.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2687.000   | 59114.000   | 248.378    |
| 114   | 0   | 32   | 82  | 0   | 0    | GET    | /assets/button-CS9qg6Tt.js                         | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 843.000    | 26976.000   | 236.632    |
| 32    | 0   | 32   | 0   | 0   | 0    | GET    | /assets/form-frame-AzQ8YT1a.js                     | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 824.000    | 824.000    | 26368.000   | 824.000    |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/manifest-2155a205.js                       | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 9192.000   | 9192.000   | 18384.000   | 9192.000   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-C7CZBETH.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 2244.000   | 2244.000   | 4488.000    | 2244.000   |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /images/buildings4.svg                             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 4582.000   | 100804.000  | 423.546    |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-Bu9MIazC.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 10479.000  | 10479.000  | 20958.000   | 10479.000  |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-Ckv8UtcK.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1148.000   | 1148.000   | 2296.000    | 1148.000   |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /images/house1.svg                                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2903.000   | 63866.000   | 268.345    |
| 94    | 0   | 12   | 82  | 0   | 0    | GET    | /owner                                             | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 705.000    | 8460.000    | 90.000     |
| 330   | 0   | 32   | 298 | 0   | 0    | GET    | /assets/api-components-dDIZztSJ.js                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 2007.000   | 64224.000   | 194.618    |
| 12    | 0   | 12   | 0   | 0   | 0    | GET    | /assets/route-CJUF4eR6.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1576.000   | 1576.000   | 18912.000   | 1576.000   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/rating-star-gH9aOYPH.js                    | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 519.000    | 519.000    | 1038.000    | 519.000    |
| 238   | 0   | 22   | 216 | 0   | 0    | GET    | /images/house2.svg                                 | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 6430.000   | 141460.000  | 594.370    |
| 248   | 0   | 32   | 216 | 0   | 0    | GET    | /assets/text-DfCqYLRl.js                           | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 505.000    | 16160.000   | 65.161     |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/route-DGKaubqO.js                          | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1495.000   | 1495.000   | 2990.000    | 1495.000   |
| 2     | 0   | 2    | 0   | 0   | 0    | GET    | /assets/get-initial-data-vd1rP8TD.js               | 0.000 | 0.000  | 0.000    | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 1757.000   | 1757.000   | 3514.000    | 1757.000   |
