+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN   |  MAX   |  SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 2     | 0   | 0    | 0   | 2   | 0   | POST   | /api/initialize                       | 29.996 | 30.008 | 60.004 | 30.002 | 30.008 | 30.008 | 30.008 | 0.006  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1144  | 0   | 1121 | 0   | 0   | 23  | GET    | /api/internal/matching                | 0.008  | 2.588  | 35.216 | 0.031  | 0.032  | 0.040  | 0.076  | 0.132  | 0.000      | 166.000    | 1666.000    | 1.456      |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/top-bg.png                    | 0.000  | 0.025  | 0.025  | 0.013  | 0.025  | 0.025  | 0.025  | 0.013  | 549793.000 | 549793.000 | 1099586.000 | 549793.000 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/buildings3.svg                | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 23793.000  | 23793.000  | 47586.000   | 23793.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/bundle-mjs-Dnoi3Axr.js        | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 19912.000  | 19912.000  | 39824.000   | 19912.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/date-input-Br46mw6i.js        | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 425.000    | 425.000    | 850.000     | 425.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-CNt_mqIX.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 26045.000  | 26045.000  | 52090.000   | 26045.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/buildings2.svg                | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 23825.000  | 23825.000  | 47650.000   | 23825.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /favicon.ico                          | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 16958.000  | 16958.000  | 33916.000   | 16958.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/responses-Cu7_GOWP.js         | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 350.000    | 350.000    | 700.000     | 350.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/storage-Coaj7Roq.js           | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 711.000    | 711.000    | 1422.000    | 711.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/house2.svg                    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 6430.000   | 6430.000   | 12860.000   | 6430.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/chair-PB3Jm0Ii.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2008.000   | 2008.000   | 4016.000    | 2008.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/text-DfCqYLRl.js              | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 505.000    | 505.000    | 1010.000    | 505.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/buildings6.svg                | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 9454.000   | 9454.000   | 18908.000   | 9454.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /index.html                           | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 705.000    | 705.000    | 1410.000    | 705.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/root-BoSp76zW.css             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 26579.000  | 26579.000  | 53158.000   | 26579.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-Bhv1gox0.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2361.000   | 2361.000   | 4722.000    | 2361.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-CJUF4eR6.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1576.000   | 1576.000   | 3152.000    | 1576.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-DzrPVuAG.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1908.000   | 1908.000   | 3816.000    | 1908.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /favicon-128x128.png                  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 783.000    | 783.000    | 1566.000    | 783.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/colors-DB9lnfSt.js            | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 5678.000   | 5678.000   | 11356.000   | 5678.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/form-frame-AzQ8YT1a.js        | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 824.000    | 824.000    | 1648.000    | 824.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/client-context-C6wEaUbS.js    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2262.000   | 2262.000   | 4524.000    | 2262.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/house1.svg                    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2903.000   | 2903.000   | 5806.000    | 2903.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/simulator-context-fn0s3fwv.js | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2970.000   | 2970.000   | 5940.000    | 2970.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/buildings4.svg                | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 4582.000   | 4582.000   | 9164.000    | 4582.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/town.svg                      | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 128735.000 | 128735.000 | 257470.000  | 128735.000 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/api-components-dDIZztSJ.js    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2007.000   | 2007.000   | 4014.000    | 2007.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/price-D-o-ix3Y.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1793.000   | 1793.000   | 3586.000    | 1793.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-Ckv8UtcK.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1148.000   | 1148.000   | 2296.000    | 1148.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/jsx-runtime-56DGgGmo.js       | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 8107.000   | 8107.000   | 16214.000   | 8107.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/owner-context-DCgOhQtd.js     | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1077.000   | 1077.000   | 2154.000    | 1077.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-BE5HJ0d6.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 3303.000   | 3303.000   | 6606.000    | 3303.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-D-xfm-4G.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 388.000    | 388.000    | 776.000     | 388.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/index-9ZhTBp7q.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 60305.000  | 60305.000  | 120610.000  | 60305.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/map-WlZ9yiya.js               | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 11712.000  | 11712.000  | 23424.000   | 11712.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /apple-touch-icon-180x180.png         | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1020.000   | 1020.000   | 2040.000    | 1020.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/top-logo.svg                  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 4749.000   | 4749.000   | 9498.000    | 4749.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/api-base-url-Bd0x18OB.js      | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 26.000     | 26.000     | 52.000      | 26.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/get-initial-data-vd1rP8TD.js  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1757.000   | 1757.000   | 3514.000    | 1757.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/post-message-C3RbgkUr.js      | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 367.000    | 367.000    | 734.000     | 367.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-DGKaubqO.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1495.000   | 1495.000   | 2990.000    | 1495.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-j6B5sfAw.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 3490.000   | 3490.000   | 6980.000    | 3490.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-B_Zm-GyU.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2687.000   | 2687.000   | 5374.000    | 2687.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-qjNoFN43.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2937.000   | 2937.000   | 5874.000    | 2937.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/account-switch-C7WpOYxZ.js    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 553.000    | 553.000    | 1106.000    | 553.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/button-CS9qg6Tt.js            | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 843.000    | 843.000    | 1686.000    | 843.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/entry.client-BwsCJ-uh.js      | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 4135.000   | 4135.000   | 8270.000    | 4135.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/frame-CJ9SHS1U.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 344.000    | 344.000    | 688.000     | 344.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-BbZUnrjQ.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1029.000   | 1029.000   | 2058.000    | 1029.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-BkJsE9q1.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1496.000   | 1496.000   | 2992.000    | 1496.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-C7CZBETH.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2244.000   | 2244.000   | 4488.000    | 2244.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/buildings5.svg                | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 9858.000   | 9858.000   | 19716.000   | 9858.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js        | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 184569.000 | 184569.000 | 369138.000  | 184569.000 |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /favicon-32x32.png                    | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 336.000    | 336.000    | 672.000     | 336.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /client                               | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 705.000    | 705.000    | 1410.000    | 705.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/root-JpS3BGeV.js              | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 27925.000  | 27925.000  | 55850.000   | 27925.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/get-cookie-value-B3QhECDc.js  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 110.000    | 110.000    | 220.000     | 110.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/manifest-2155a205.js          | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 9192.000   | 9192.000   | 18384.000   | 9192.000   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/rating-star-gH9aOYPH.js       | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 519.000    | 519.000    | 1038.000    | 519.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/route-Bu9MIazC.js             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 10479.000  | 10479.000  | 20958.000   | 10479.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /images/buildings1.svg                | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 13886.000  | 13886.000  | 27772.000   | 13886.000  |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /owner                                | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 705.000    | 705.000    | 1410.000    | 705.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /assets/isuride-CWZY8A89.js           | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 834.000    | 834.000    | 1668.000    | 834.000    |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
