+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 16    | 0   | 1    | 0   | 15  | 0   | GET    | /api/owner/chairs                                    | 0.672 | 10.012 | 150.696 | 9.418 | 10.012 | 10.012 | 10.012 | 2.258  | 0.000      | 19014.000  | 19014.000   | 1188.375   |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 6.716 | 6.716  | 6.716   | 6.716 | 6.716  | 6.716  | 6.716  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 12    | 0   | 12   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 1.468 | 2.904  | 24.144  | 2.012 | 2.512  | 2.904  | 2.904  | 0.399  | 42.000     | 764.000    | 4324.000    | 360.333    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.600 | 1.360  | 8.348   | 0.835 | 1.212  | 1.360  | 1.360  | 0.253  | 51.000     | 52.000     | 516.000     | 51.600     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JWX9ECFC70VBR67EMT79AKS3/status   | 0.644 | 0.644  | 0.644   | 0.644 | 0.644  | 0.644  | 0.644  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JWX9EDYX1G2DRRJ06T4Z4TPG/status   | 0.368 | 0.828  | 1.196   | 0.598 | 0.828  | 0.828  | 0.828  | 0.230  | 0.000      | 0.000      | 0.000       | 0.000      |
| 506   | 0   | 496  | 0   | 10  | 0   | GET    | /api/app/notification                                | 0.032 | 1.588  | 295.192 | 0.583 | 0.964  | 1.120  | 1.400  | 0.286  | 0.000      | 437.000    | 191621.000  | 378.698    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                             | 0.068 | 1.008  | 5.660   | 0.566 | 0.924  | 1.008  | 1.008  | 0.302  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JWX9EAZJAJYZ1QV4K0SQQQSF/evaluation | 0.536 | 0.536  | 0.536   | 0.536 | 0.536  | 0.536  | 0.536  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 420   | 0   | 420  | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.104 | 1.384  | 209.036 | 0.498 | 0.816  | 0.936  | 1.104  | 0.233  | 29.000     | 29.000     | 12180.000   | 29.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                  | 0.024 | 1.456  | 9.924   | 0.496 | 1.168  | 1.192  | 1.456  | 0.449  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JWX9ED18Z0GMBNCJ1W0NKNDY/status   | 0.364 | 0.364  | 0.364   | 0.364 | 0.364  | 0.364  | 0.364  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JWX9EC1C2K2SMW1EX3QD0G0H/status   | 0.148 | 0.488  | 0.636   | 0.318 | 0.488  | 0.488  | 0.488  | 0.170  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JWX9EAZJAJYZ1QV4K0SQQQSF/status   | 0.288 | 0.340  | 0.628   | 0.314 | 0.340  | 0.340  | 0.340  | 0.026  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                    | 0.256 | 0.256  | 0.256   | 0.256 | 0.256  | 0.256  | 0.256  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JWX9ECCKAAMVXEQDYMRDPF5N/status   | 0.228 | 0.228  | 0.228   | 0.228 | 0.228  | 0.228  | 0.228  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                                     | 0.228 | 0.228  | 0.228   | 0.228 | 0.228  | 0.228  | 0.228  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 2824  | 0   | 2807 | 0   | 17  | 0   | GET    | /api/chair/notification                              | 0.004 | 1.412  | 610.496 | 0.216 | 0.448  | 0.568  | 0.868  | 0.177  | 0.000      | 270.000    | 239102.000  | 84.668     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JWX9EDYM32KKKB3H7WV5PVAF/status   | 0.184 | 0.184  | 0.184   | 0.184 | 0.184  | 0.184  | 0.184  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
