+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/initialize                                      | 7.933 | 12.992 | 20.925  | 10.463 | 12.992 | 12.992 | 12.992 | 2.530  | 17.000     | 17.000     | 34.000      | 17.000     |
| 16    | 0   | 1    | 0   | 15  | 0   | GET    | /api/owner/chairs                                    | 0.888 | 10.008 | 150.904 | 9.432  | 10.008 | 10.008 | 10.008 | 2.206  | 0.000      | 19014.000  | 19014.000   | 1188.375   |
| 12    | 0   | 12   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 1.256 | 2.564  | 23.988  | 1.999  | 2.548  | 2.564  | 2.564  | 0.481  | 42.000     | 850.000    | 3732.000    | 311.000    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.292 | 1.272  | 8.380   | 0.838  | 1.180  | 1.272  | 1.272  | 0.284  | 51.000     | 52.000     | 517.000     | 51.700     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FTHMJFKFQJ8YT8MPEG9Z/status   | 0.696 | 0.696  | 0.696   | 0.696  | 0.696  | 0.696  | 0.696  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                             | 0.280 | 1.076  | 6.572   | 0.657  | 0.836  | 1.076  | 1.076  | 0.228  | 0.000      | 0.000      | 0.000       | 0.000      |
| 475   | 0   | 466  | 0   | 9   | 0   | GET    | /api/app/notification                                | 0.032 | 1.820  | 285.600 | 0.601  | 1.060  | 1.208  | 1.608  | 0.325  | 0.000      | 428.000    | 174429.000  | 367.219    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JXF9FS5NKQ3BE83AXXCXMC11/evaluation | 0.596 | 0.596  | 0.596   | 0.596  | 0.596  | 0.596  | 0.596  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FT1WX54EJTSY5CH6XDWX/status   | 0.528 | 0.528  | 0.528   | 0.528  | 0.528  | 0.528  | 0.528  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 377   | 0   | 377  | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.064 | 1.412  | 196.248 | 0.521  | 0.812  | 0.956  | 1.100  | 0.225  | 29.000     | 29.000     | 10933.000   | 29.000     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FVVCR2QH0DF0PRSDN60F/status   | 0.372 | 0.560  | 0.932   | 0.466  | 0.560  | 0.560  | 0.560  | 0.094  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FS2VS3CKQ2F46G3ABZ36/status   | 0.328 | 0.584  | 0.912   | 0.456  | 0.584  | 0.584  | 0.584  | 0.128  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                  | 0.060 | 1.404  | 9.084   | 0.454  | 0.748  | 0.840  | 1.404  | 0.321  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FS5NKQ3BE83AXXCXMC11/status   | 0.112 | 0.692  | 0.804   | 0.402  | 0.692  | 0.692  | 0.692  | 0.290  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FV3XXT0Y3MQT5Y93R5D4/status   | 0.376 | 0.376  | 0.376   | 0.376  | 0.376  | 0.376  | 0.376  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                    | 0.304 | 0.304  | 0.304   | 0.304  | 0.304  | 0.304  | 0.304  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                                     | 0.260 | 0.260  | 0.260   | 0.260  | 0.260  | 0.260  | 0.260  | 0.000  | 9024.000   | 9024.000   | 9024.000    | 9024.000   |
| 15    | 0   | 15   | 0   | 0   | 0   | GET    | /api/app/rides                                       | 0.008 | 0.536  | 3.756   | 0.250  | 0.480  | 0.536  | 0.536  | 0.162  | 12.000     | 2158.000   | 4078.000    | 271.867    |
| 2620  | 0   | 2603 | 0   | 17  | 0   | GET    | /api/chair/notification                              | 0.004 | 1.272  | 603.388 | 0.230  | 0.464  | 0.596  | 0.856  | 0.184  | 0.000      | 267.000    | 213957.000  | 81.663     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FSXWTKJ4TCDCZBY0YH7S/status   | 0.220 | 0.220  | 0.220   | 0.220  | 0.220  | 0.220  | 0.220  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FTB3ETM06B6V48JE0X1S/status   | 0.212 | 0.212  | 0.212   | 0.212  | 0.212  | 0.212  | 0.212  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare                        | 0.004 | 0.728  | 2.160   | 0.154  | 0.344  | 0.728  | 0.728  | 0.203  | 26.000     | 29.000     | 396.000     | 28.286     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FT352A3ZG1JC600ZT1BS/status   | 0.148 | 0.148  | 0.148   | 0.148  | 0.148  | 0.148  | 0.148  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JXF9FSEEHZVDDA69EZ8JBTHK/status   | 0.088 | 0.088  | 0.088   | 0.088  | 0.088  | 0.088  | 0.088  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-bg.png                                   | 0.029 | 0.029  | 0.029   | 0.029  | 0.029  | 0.029  | 0.029  | 0.000  | 549793.000 | 549793.000 | 549793.000  | 549793.000 |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                                    | 0.008 | 0.024  | 0.292   | 0.015  | 0.020  | 0.020  | 0.024  | 0.004  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/users                                       | 0.008 | 0.020  | 0.140   | 0.014  | 0.016  | 0.020  | 0.020  | 0.003  | 86.000     | 86.000     | 860.000     | 86.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                                    | 0.004 | 0.016  | 0.060   | 0.012  | 0.016  | 0.016  | 0.016  | 0.004  | 125.000    | 125.000    | 625.000     | 125.000    |
| 5563  | 0   | 5558 | 0   | 0   | 5   | GET    | /api/internal/matching                               | 0.000 | 1.132  | 36.524  | 0.007  | 0.008  | 0.008  | 0.020  | 0.030  | 0.000      | 69.000     | 336.000     | 0.060      |
| 44    | 0   | 16   | 28  | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js                       | 0.000 | 0.007  | 0.044   | 0.001  | 0.005  | 0.006  | 0.007  | 0.002  | 0.000      | 184569.000 | 2953104.000 | 67116.000  |
| 24    | 0   | 11   | 13  | 0   | 0   | GET    | /images/town.svg                                     | 0.000 | 0.009  | 0.022   | 0.001  | 0.005  | 0.005  | 0.009  | 0.002  | 0.000      | 128735.000 | 1416085.000 | 59003.542  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/chair-PB3Jm0Ii.js                            | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 2008.000   | 2008.000   | 2008.000    | 2008.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /index.html                                          | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 705.000    | 705.000    | 705.000     | 705.000    |
| 44    | 0   | 16   | 28  | 0   | 0   | GET    | /assets/root-JpS3BGeV.js                             | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 27925.000  | 446800.000  | 10154.545  |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /assets/route-j6B5sfAw.js                            | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 3490.000   | 3490.000   | 38390.000   | 3490.000   |
| 24    | 0   | 11   | 13  | 0   | 0   | GET    | /images/buildings2.svg                               | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 23825.000  | 262075.000  | 10919.792  |
| 24    | 0   | 11   | 13  | 0   | 0   | GET    | /images/buildings4.svg                               | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 4582.000   | 50402.000   | 2100.083   |
| 24    | 0   | 11   | 13  | 0   | 0   | GET    | /images/house2.svg                                   | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 6430.000   | 70730.000   | 2947.083   |
| 21    | 0   | 6    | 15  | 0   | 0   | GET    | /assets/route-DzrPVuAG.js                            | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 1908.000   | 11448.000   | 545.143    |
| 29    | 0   | 16   | 13  | 0   | 0   | GET    | /assets/text-DfCqYLRl.js                             | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 505.000    | 8080.000    | 278.621    |
| 44    | 0   | 16   | 28  | 0   | 0   | GET    | /assets/bundle-mjs-Dnoi3Axr.js                       | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 19912.000  | 318592.000  | 7240.727   |
| 44    | 0   | 16   | 28  | 0   | 0   | GET    | /favicon-32x32.png                                   | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 336.000    | 5376.000    | 122.182    |
| 44    | 0   | 16   | 28  | 0   | 0   | GET    | /assets/entry.client-BwsCJ-uh.js                     | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 4135.000   | 66160.000   | 1503.636   |
| 24    | 0   | 11   | 13  | 0   | 0   | GET    | /images/buildings3.svg                               | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 23793.000  | 261723.000  | 10905.125  |
| 24    | 0   | 11   | 13  | 0   | 0   | GET    | /assets/api-base-url-Bd0x18OB.js                     | 0.000 | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 26.000     | 286.000     | 11.917     |
