+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 31    | 0   | 1    | 0   | 30  | 0   | GET    | /api/owner/chairs                                    | 0.716 | 10.008 | 298.380  | 9.625 | 10.004 | 10.008 | 10.008 | 1.660  | 0.000      | 19014.000  | 19014.000   | 613.355    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 7.144 | 7.144  | 7.144    | 7.144 | 7.144  | 7.144  | 7.144  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 2.352 | 3.168  | 29.508   | 2.683 | 3.024  | 3.168  | 3.168  | 0.262  | 42.000     | 853.000    | 4096.000    | 372.364    |
| 8     | 0   | 0    | 0   | 0   | 8   | POST   | /api/app/rides/01JXF9RC1RHGYC66MBSZVJYVTA/evaluation | 1.160 | 2.564  | 13.328   | 1.666 | 2.564  | 2.564  | 2.564  | 0.495  | 109.000    | 109.000    | 872.000     | 109.000    |
| 9     | 0   | 0    | 0   | 0   | 9   | POST   | /api/app/rides/01JXF9RFJ375DTRZ1C7DS357AT/evaluation | 1.020 | 1.936  | 14.328   | 1.592 | 1.936  | 1.936  | 1.936  | 0.287  | 109.000    | 109.000    | 981.000     | 109.000    |
| 15    | 0   | 0    | 0   | 0   | 15  | POST   | /api/app/rides/01JXF9RC20A7MDPGGEQ3VGVGXW/evaluation | 0.844 | 2.588  | 22.184   | 1.479 | 2.220  | 2.588  | 2.588  | 0.456  | 109.000    | 109.000    | 1635.000    | 109.000    |
| 15    | 0   | 0    | 0   | 0   | 15  | POST   | /api/app/rides/01JXF9RBTX0Y1RD52Q8GXJADMV/evaluation | 0.840 | 2.348  | 20.124   | 1.342 | 1.596  | 2.348  | 2.348  | 0.364  | 109.000    | 109.000    | 1635.000    | 109.000    |
| 3     | 0   | 0    | 0   | 0   | 3   | POST   | /api/app/rides/01JXF9RBKJCGE3J0W8DDCTHA9P/evaluation | 0.776 | 1.392  | 3.288    | 1.096 | 1.392  | 1.392  | 1.392  | 0.252  | 109.000    | 109.000    | 327.000     | 109.000    |
| 793   | 0   | 784  | 0   | 9   | 0   | GET    | /api/app/notification                                | 0.064 | 2.196  | 564.048  | 0.711 | 1.212  | 1.384  | 1.652  | 0.340  | 0.000      | 429.000    | 308242.000  | 388.704    |
