+-------+-----+-------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+-------+-----+-----+-----+--------+------------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 31    | 0   | 1     | 0   | 30  | 0   | GET    | /api/owner/chairs                                    | 0.644 | 10.015 | 300.616  | 9.697 | 10.007 | 10.015 | 10.015 | 1.653  | 0.000      | 19007.000  | 19007.000   | 613.129    |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/initialize                                      | 6.305 | 6.305  | 6.305    | 6.305 | 6.305  | 6.305  | 6.305  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 18    | 0   | 18    | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 1.413 | 4.052  | 44.996   | 2.500 | 3.848  | 4.052  | 4.052  | 0.656  | 42.000     | 847.000    | 5861.000    | 325.611    |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/app/rides/01JY190VPEQ9TP6K6EKHQDA0W7/evaluation | 1.284 | 1.284  | 1.284    | 1.284 | 1.284  | 1.284  | 1.284  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/app/rides/01JY190WQ1D90C59WHTPE3F198/evaluation | 1.148 | 1.148  | 1.148    | 1.148 | 1.148  | 1.148  | 1.148  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY1926CN9PGTW9KK3XFQ13TM/status   | 0.944 | 0.944  | 0.944    | 0.944 | 0.944  | 0.944  | 0.944  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 15    | 0   | 15    | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.276 | 1.400  | 10.989   | 0.733 | 0.900  | 1.400  | 1.400  | 0.250  | 51.000     | 52.000     | 776.000     | 51.733     |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/app/rides/01JY190Y67ZNA3A67GF7AD2TZN/evaluation | 0.696 | 0.696  | 0.696    | 0.696 | 0.696  | 0.696  | 0.696  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 960   | 0   | 951   | 0   | 9   | 0   | GET    | /api/app/notification                                | 0.032 | 1.805  | 584.751  | 0.609 | 1.004  | 1.128  | 1.448  | 0.295  | 0.000      | 428.000    | 374483.000  | 390.086    |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY190Y67ZNA3A67GFAA8Z6M5/status   | 0.596 | 0.596  | 0.596    | 0.596 | 0.596  | 0.596  | 0.596  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY1929STMBR93PHMMT70E63Z/status   | 0.567 | 0.567  | 0.567    | 0.567 | 0.567  | 0.567  | 0.567  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY190WQ1D90C59WHTPE3F198/status   | 0.437 | 0.644  | 1.081    | 0.540 | 0.644  | 0.644  | 0.644  | 0.104  | 0.000      | 0.000      | 0.000       | 0.000      |
| 945   | 0   | 945   | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.068 | 1.708  | 475.922  | 0.504 | 0.836  | 0.968  | 1.184  | 0.241  | 29.000     | 29.000     | 27405.000   | 29.000     |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY190X4AKSFMYBF2DK1GQ199/status   | 0.460 | 0.460  | 0.460    | 0.460 | 0.460  | 0.460  | 0.460  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY1924JGF1FPKVZXFMYG4R83/status   | 0.452 | 0.452  | 0.452    | 0.452 | 0.452  | 0.452  | 0.452  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20    | 0   | 0   | 0   | POST   | /api/chair/activity                                  | 0.120 | 0.676  | 7.604    | 0.380 | 0.672  | 0.672  | 0.676  | 0.219  | 0.000      | 0.000      | 0.000       | 0.000      |
| 12    | 0   | 12    | 0   | 0   | 0   | POST   | /api/app/payment-methods                             | 0.140 | 0.524  | 4.292    | 0.358 | 0.472  | 0.524  | 0.524  | 0.120  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY190Y67ZNA3A67GF7AD2TZN/status   | 0.145 | 0.564  | 0.709    | 0.354 | 0.564  | 0.564  | 0.564  | 0.209  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY190WPZS56FR8QC5YYF98TN/status   | 0.328 | 0.328  | 0.328    | 0.328 | 0.328  | 0.328  | 0.328  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY190VPEQ9TP6K6EKHQDA0W7/status   | 0.196 | 0.440  | 0.636    | 0.318 | 0.440  | 0.440  | 0.440  | 0.122  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2     | 0   | 0   | 0   | POST   | /api/chair/rides/01JY190WDQPCQJ506JP09W1FRX/status   | 0.200 | 0.376  | 0.576    | 0.288 | 0.376  | 0.376  | 0.376  | 0.088  | 0.000      | 0.000      | 0.000       | 0.000      |
