+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                       | 13.925 | 13.925 | 13.925  | 13.925 | 13.925 | 13.925 | 13.925 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 21    | 0   | 1    | 0   | 20  | 0   | GET    | /api/owner/chairs                     | 0.712  | 10.009 | 200.689 | 9.557  | 10.009 | 10.009 | 10.009 | 1.978  | 0.000      | 19014.000  | 19014.000   | 905.429    |
| 82    | 0   | 81   | 0   | 1   | 0   | GET    | /api/app/nearby-chairs                | 2.264  | 6.381  | 370.649 | 4.520  | 5.444  | 5.612  | 6.381  | 0.714  | 0.000      | 42.000     | 3402.000    | 41.488     |
| 85    | 0   | 85   | 0   | 0   | 0   | GET    | /api/app/rides                        | 0.008  | 2.504  | 40.305  | 0.474  | 1.844  | 2.036  | 2.504  | 0.588  | 12.000     | 2158.000   | 4918.000    | 57.859     |
| 198   | 0   | 0    | 0   | 0   | 198 | POST   | /api/chair/coordinate                 | 0.016  | 3.544  | 92.027  | 0.465  | 1.216  | 2.740  | 3.364  | 0.714  | 74.000     | 74.000     | 14652.000   | 74.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods              | 0.284  | 0.640  | 4.472   | 0.447  | 0.640  | 0.640  | 0.640  | 0.162  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                   | 0.072  | 0.752  | 7.752   | 0.388  | 0.640  | 0.752  | 0.752  | 0.201  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2844  | 0   | 2828 | 0   | 16  | 0   | GET    | /api/chair/notification               | 0.004  | 3.548  | 820.673 | 0.289  | 0.492  | 0.592  | 1.024  | 0.279  | 0.000      | 33.000     | 93324.000   | 32.814     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                     | 0.280  | 0.280  | 0.280   | 0.280  | 0.280  | 0.280  | 0.280  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                      | 0.268  | 0.268  | 0.268   | 0.268  | 0.268  | 0.268  | 0.268  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                     | 0.012  | 0.040  | 0.420   | 0.021  | 0.024  | 0.028  | 0.040  | 0.006  | 75.000     | 75.000     | 1500.000    | 75.000     |
