+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX   |   SUM   |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+-------+--------+---------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 21    | 0   | 1    | 0   | 20  | 0   | GET    | /api/owner/chairs                     | 0.696 | 10.011 | 200.283 | 9.537 | 10.004 | 10.011 | 10.011 | 1.977  | 0.000      | 19007.000  | 19007.000   | 905.095    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                       | 7.408 | 7.408  | 7.408   | 7.408 | 7.408  | 7.408  | 7.408  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 121   | 0   | 121  | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                | 1.692 | 4.268  | 344.624 | 2.848 | 3.404  | 3.668  | 4.024  | 0.489  | 42.000     | 42.000     | 5082.000    | 42.000     |
| 193   | 0   | 0    | 0   | 0   | 193 | POST   | /api/chair/coordinate                 | 0.072 | 1.196  | 84.461  | 0.438 | 0.740  | 0.872  | 1.148  | 0.222  | 75.000     | 75.000     | 14475.000   | 75.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                   | 0.108 | 0.592  | 5.924   | 0.296 | 0.548  | 0.560  | 0.592  | 0.170  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                     | 0.284 | 0.284  | 0.284   | 0.284 | 0.284  | 0.284  | 0.284  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods              | 0.148 | 0.456  | 2.444   | 0.244 | 0.456  | 0.456  | 0.456  | 0.108  | 0.000      | 0.000      | 0.000       | 0.000      |
| 124   | 0   | 124  | 0   | 0   | 0   | GET    | /api/app/rides                        | 0.012 | 1.020  | 25.838  | 0.208 | 0.388  | 0.432  | 0.628  | 0.141  | 12.000     | 2158.000   | 5386.000    | 43.435     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                      | 0.208 | 0.208  | 0.208   | 0.208 | 0.208  | 0.208  | 0.208  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 4358  | 0   | 4349 | 0   | 9   | 0   | GET    | /api/chair/notification               | 0.004 | 0.808  | 710.356 | 0.163 | 0.304  | 0.364  | 0.520  | 0.107  | 0.000      | 33.000     | 143517.000  | 32.932     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/users                        | 0.012 | 0.024  | 0.164   | 0.016 | 0.020  | 0.024  | 0.024  | 0.003  | 86.000     | 86.000     | 860.000     | 86.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                     | 0.012 | 0.020  | 0.324   | 0.016 | 0.020  | 0.020  | 0.020  | 0.003  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                     | 0.008 | 0.016  | 0.056   | 0.011 | 0.016  | 0.016  | 0.016  | 0.003  | 125.000    | 125.000    | 625.000     | 125.000    |
| 4     | 0   | 4    | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare         | 0.008 | 0.008  | 0.032   | 0.008 | 0.008  | 0.008  | 0.008  | 0.000  | 26.000     | 29.000     | 109.000     | 27.250     |
| 792   | 0   | 788  | 0   | 0   | 4   | GET    | /api/internal/matching                | 0.004 | 0.336  | 5.360   | 0.007 | 0.008  | 0.012  | 0.072  | 0.017  | 0.000      | 69.000     | 276.000     | 0.348      |
| 157   | 0   | 16   | 141 | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js        | 0.000 | 0.004  | 0.013   | 0.000 | 0.000  | 0.000  | 0.003  | 0.000  | 0.000      | 184569.000 | 2953104.000 | 18809.580  |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /images/town.svg                      | 0.000 | 0.003  | 0.005   | 0.000 | 0.000  | 0.000  | 0.002  | 0.000  | 0.000      | 128735.000 | 1416085.000 | 10727.917  |
| 132   | 0   | 11   | 121 | 0   | 0   | GET    | /images/buildings2.svg                | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 0.000      | 23825.000  | 262075.000  | 1985.417   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /assets/manifest-2155a205.js          | 0.000 | 0.000  | 0.000   | 0.000 | 0.000  | 0.000  | 0.000  | 0.000  | 9192.000   | 9192.000   | 9192.000    | 9192.000   |
