+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                        URI                         |  MIN  |  MAX   |   SUM    |  AVG  |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+-------+--------+----------+-------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 31    | 0   | 1    | 0   | 30  | 0   | GET    | /api/owner/chairs                                  | 0.636 | 10.005 | 299.790  | 9.671 | 10.004 | 10.005 | 10.005 | 1.651  | 0.000      | 19014.000  | 19014.000   | 613.355    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                    | 6.965 | 6.965  | 6.965    | 6.965 | 6.965  | 6.965  | 6.965  | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 14    | 0   | 14   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                             | 1.960 | 3.096  | 35.308   | 2.522 | 2.940  | 3.096  | 3.096  | 0.326  | 42.000     | 744.000    | 3603.000    | 257.357    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                     | 0.508 | 1.216  | 8.796    | 0.880 | 1.088  | 1.216  | 1.216  | 0.217  | 51.000     | 52.000     | 517.000     | 51.700     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                           | 0.256 | 0.804  | 6.080    | 0.608 | 0.732  | 0.804  | 0.804  | 0.137  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1099  | 0   | 1089 | 0   | 10  | 0   | GET    | /api/app/notification                              | 0.040 | 1.308  | 554.006  | 0.504 | 0.740  | 0.820  | 0.964  | 0.181  | 0.000      | 429.000    | 434133.000  | 395.025    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDT2JM9BWTWQP132M3Z9G/status | 0.440 | 0.440  | 0.440    | 0.440 | 0.440  | 0.440  | 0.440  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 122   | 0   | 20   | 0   | 0   | 102 | POST   | /api/chair/coordinate                              | 0.032 | 1.196  | 51.326   | 0.421 | 0.732  | 0.908  | 1.048  | 0.234  | 29.000     | 111.000    | 11902.000   | 97.557     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDX5Q4HCAW428VNHQD151/status | 0.420 | 0.420  | 0.420    | 0.420 | 0.420  | 0.420  | 0.420  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                | 0.140 | 0.800  | 7.736    | 0.387 | 0.632  | 0.736  | 0.800  | 0.198  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDZ71YJ6DTJ50WECRDZ7G/status | 0.308 | 0.308  | 0.308    | 0.308 | 0.308  | 0.308  | 0.308  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDT5WRJWYGK0HR84P65BT/status | 0.292 | 0.292  | 0.292    | 0.292 | 0.292  | 0.292  | 0.292  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDSQWENSBNJB604X7WZXE/status | 0.268 | 0.268  | 0.268    | 0.268 | 0.268  | 0.268  | 0.268  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                  | 0.248 | 0.248  | 0.248    | 0.248 | 0.248  | 0.248  | 0.248  | 0.000  | 9190.000   | 9190.000   | 9190.000    | 9190.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDT9BJY51ZQMAFN26S4AP/status | 0.232 | 0.232  | 0.232    | 0.232 | 0.232  | 0.232  | 0.232  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                                   | 0.228 | 0.228  | 0.228    | 0.228 | 0.228  | 0.228  | 0.228  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 17    | 0   | 17   | 0   | 0   | 0   | GET    | /api/app/rides                                     | 0.012 | 0.520  | 3.772    | 0.222 | 0.400  | 0.520  | 0.520  | 0.140  | 12.000     | 2158.000   | 4102.000    | 241.294    |
| 5976  | 0   | 5962 | 0   | 14  | 0   | GET    | /api/chair/notification                            | 0.004 | 1.076  | 1091.046 | 0.183 | 0.360  | 0.436  | 0.596  | 0.130  | 0.000      | 266.000    | 576716.000  | 96.505     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDTZDNT2S7V5CT90D758E/status | 0.172 | 0.172  | 0.172    | 0.172 | 0.172  | 0.172  | 0.172  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDWF8YGFKK9Y0K4MKK98C/status | 0.160 | 0.160  | 0.160    | 0.160 | 0.160  | 0.160  | 0.160  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZ5DDTAAS08YZ46SY10S18WK/status | 0.108 | 0.108  | 0.108    | 0.108 | 0.108  | 0.108  | 0.108  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
