+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+--------+--------+----------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                        URI                         |  MIN   |  MAX   |   SUM    |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+--------+--------+----------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                    | 11.012 | 11.012 | 11.012   | 11.012 | 11.012 | 11.012 | 11.012 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 31    | 0   | 1    | 0   | 30  | 0   | GET    | /api/owner/chairs                                  | 1.636  | 10.004 | 300.389  | 9.690  | 10.001 | 10.004 | 10.004 | 1.474  | 0.000      | 19014.000  | 19014.000   | 613.355    |
| 18    | 0   | 18   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                             | 2.556  | 4.872  | 65.924   | 3.662  | 4.724  | 4.872  | 4.872  | 0.690  | 42.000     | 915.000    | 4787.000    | 265.944    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                           | 1.368  | 2.172  | 18.112   | 1.811  | 2.140  | 2.172  | 2.172  | 0.221  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                | 0.196  | 2.748  | 25.696   | 1.285  | 2.588  | 2.632  | 2.748  | 1.070  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93QA24GJ2GZ6QSWVSXX3B/status | 1.160  | 1.160  | 1.160    | 1.160  | 1.160  | 1.160  | 1.160  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 439   | 0   | 439  | 0   | 0   | 0   | POST   | /api/chair/coordinate                              | 0.160  | 3.440  | 466.889  | 1.064  | 1.632  | 1.856  | 2.840  | 0.480  | 29.000     | 29.000     | 12731.000   | 29.000     |
| 588   | 0   | 578  | 0   | 10  | 0   | GET    | /api/app/notification                              | 0.044  | 2.652  | 522.305  | 0.888  | 1.440  | 1.640  | 2.048  | 0.417  | 0.000      | 427.000    | 226027.000  | 384.400    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                     | 0.572  | 1.177  | 8.757    | 0.876  | 1.168  | 1.177  | 1.177  | 0.216  | 51.000     | 52.000     | 518.000     | 51.800     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93HE3WCKT3W0PQSD4FAC0/status | 0.516  | 0.628  | 1.144    | 0.572  | 0.628  | 0.628  | 0.628  | 0.056  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93NFZA4QQX27HVD1B9223/status | 0.544  | 0.544  | 0.544    | 0.544  | 0.544  | 0.544  | 0.544  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93T1DYJS8V7M3CE2F0BQX/status | 0.488  | 0.488  | 0.488    | 0.488  | 0.488  | 0.488  | 0.488  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93NZE2SNAWM58W108QW1E/status | 0.452  | 0.452  | 0.452    | 0.452  | 0.452  | 0.452  | 0.452  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 21    | 0   | 21   | 0   | 0   | 0   | GET    | /api/app/rides                                     | 0.012  | 1.036  | 7.308    | 0.348  | 0.740  | 0.744  | 1.036  | 0.268  | 12.000     | 2158.000   | 4150.000    | 197.619    |
| 3485  | 0   | 3467 | 0   | 18  | 0   | GET    | /api/chair/notification                            | 0.004  | 2.940  | 1173.660 | 0.337  | 0.692  | 0.868  | 1.376  | 0.282  | 0.000      | 266.000    | 296930.000  | 85.202     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                                   | 0.336  | 0.336  | 0.336    | 0.336  | 0.336  | 0.336  | 0.336  | 0.000  | 9024.000   | 9024.000   | 9024.000    | 9024.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93J6JWZ4STCMQ2EF52KDB/status | 0.328  | 0.328  | 0.328    | 0.328  | 0.328  | 0.328  | 0.328  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93MWF78VNP17YBRJM5643/status | 0.320  | 0.320  | 0.320    | 0.320  | 0.320  | 0.320  | 0.320  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93KFPDB33S1F9E7N1YFM6/status | 0.080  | 0.556  | 0.636    | 0.318  | 0.556  | 0.556  | 0.556  | 0.238  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93HMH41W5K1AG43KXN63P/status | 0.296  | 0.296  | 0.296    | 0.296  | 0.296  | 0.296  | 0.296  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQ93NDPR9ZDEK9W3A48MFYX/status | 0.276  | 0.276  | 0.276    | 0.276  | 0.276  | 0.276  | 0.276  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                  | 0.248  | 0.248  | 0.248    | 0.248  | 0.248  | 0.248  | 0.248  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
