+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+--------+--------+----------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN   |  MAX   |   SUM    |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+--------+--------+----------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 13.564 | 13.564 | 13.564   | 13.564 | 13.564 | 13.564 | 13.564 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 19    | 0   | 19   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 1.984  | 3.732  | 52.220   | 2.748  | 3.104  | 3.732  | 3.732  | 0.354  | 42.000     | 752.000    | 4667.000    | 245.632    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JZQBKAEZY5AYW6K0NV0KX6CC/evaluation | 1.008  | 1.008  | 1.008    | 1.008  | 1.008  | 1.008  | 1.008  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 11    | 0   | 11   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.628  | 1.252  | 9.768    | 0.888  | 1.040  | 1.252  | 1.252  | 0.163  | 51.000     | 52.000     | 570.000     | 51.818     |
| 680   | 0   | 680  | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.168  | 1.560  | 489.716  | 0.720  | 0.988  | 1.048  | 1.252  | 0.207  | 29.000     | 29.000     | 19720.000   | 29.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQBKA8AJEVNPG2Q9F3K1CJ2/status   | 0.696  | 0.696  | 0.696    | 0.696  | 0.696  | 0.696  | 0.696  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 830   | 0   | 822  | 0   | 8   | 0   | GET    | /api/app/notification                                | 0.068  | 1.388  | 541.813  | 0.653  | 0.948  | 1.036  | 1.188  | 0.218  | 0.000      | 437.000    | 333762.000  | 402.123    |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /api/owner/sales                                     | 0.260  | 0.860  | 6.788    | 0.617  | 0.828  | 0.860  | 0.860  | 0.203  | 441.000    | 9024.000   | 13434.000   | 1221.273   |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                             | 0.252  | 0.708  | 4.724    | 0.472  | 0.704  | 0.708  | 0.708  | 0.167  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                  | 0.152  | 0.928  | 8.640    | 0.432  | 0.760  | 0.764  | 0.928  | 0.227  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQBKAEZY5AYW6K0NV0KX6CC/status   | 0.296  | 0.524  | 0.820    | 0.410  | 0.524  | 0.524  | 0.524  | 0.114  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQBK73WTANJS2DY75FBBP3A/status   | 0.396  | 0.396  | 0.396    | 0.396  | 0.396  | 0.396  | 0.396  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/chair/rides/01JZQBKDQMBDXZAEPP425ZPGN2/status   | 0.248  | 0.484  | 0.732    | 0.366  | 0.484  | 0.484  | 0.484  | 0.118  | 0.000      | 0.000      | 0.000       | 0.000      |
