+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 13.060 | 13.060 | 13.060  | 13.060 | 13.060 | 13.060 | 13.060 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 21    | 0   | 21   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 0.764  | 3.468  | 43.004  | 2.048  | 3.440  | 3.448  | 3.468  | 1.032  | 42.000     | 903.000    | 7213.000    | 343.476    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JZQE0173GZYGQ0D2YYPW60W9/evaluation | 1.344  | 1.344  | 1.344   | 1.344  | 1.344  | 1.344  | 1.344  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JZQE00PCGHQP6QBGSVBDMV5G/evaluation | 0.772  | 0.772  | 0.772   | 0.772  | 0.772  | 0.772  | 0.772  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JZQE02PWTN8Y66WR752X1D18/evaluation | 0.720  | 0.720  | 0.720   | 0.720  | 0.720  | 0.720  | 0.720  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 896   | 0   | 896  | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.096  | 1.256  | 486.788 | 0.543  | 0.800  | 0.852  | 1.012  | 0.183  | 29.000     | 29.000     | 25984.000   | 29.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01JZQE01PP0C10X5NDER1D696P/evaluation | 0.532  | 0.532  | 0.532   | 0.532  | 0.532  | 0.532  | 0.532  | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 19    | 0   | 19   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.300  | 0.980  | 9.812   | 0.516  | 0.796  | 0.980  | 0.980  | 0.186  | 51.000     | 52.000     | 982.000     | 51.684     |
| 1239  | 0   | 1231 | 0   | 8   | 0   | GET    | /api/app/notification                                | 0.016  | 1.396  | 566.592 | 0.457  | 0.708  | 0.792  | 1.000  | 0.201  | 0.000      | 438.000    | 487897.000  | 393.783    |
