+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                         URI                          |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                      | 6.888 | 6.888 | 6.888   | 6.888 | 6.888 | 6.888 | 6.888 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 42    | 0   | 42   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                               | 0.128 | 3.176 | 56.004  | 1.333 | 2.500 | 2.792 | 3.176 | 0.837  | 42.000     | 873.000    | 8886.000    | 211.571    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01K09AEPWW4J7NFMJVWEDR91TQ/evaluation | 0.792 | 0.792 | 0.792   | 0.792 | 0.792 | 0.792 | 0.792 | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01K09AF82DEP3YKDEX6EKNCBJ9/evaluation | 0.652 | 0.652 | 0.652   | 0.652 | 0.652 | 0.652 | 0.652 | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01K09AEMY8Z9JV78WJZYFV770C/evaluation | 0.632 | 0.632 | 0.632   | 0.632 | 0.632 | 0.632 | 0.632 | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01K09AEGFDYPNH5T2NWPQ93PCM/evaluation | 0.460 | 0.460 | 0.460   | 0.460 | 0.460 | 0.460 | 0.460 | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01K09AE18GKCY7V566BSTPE8X4/evaluation | 0.440 | 0.440 | 0.440   | 0.440 | 0.440 | 0.440 | 0.440 | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01K09AE27P5CC2MHG9BRW0DF14/evaluation | 0.392 | 0.392 | 0.392   | 0.392 | 0.392 | 0.392 | 0.392 | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/app/rides/01K09AEMQAS6JR60RFS8X776PB/evaluation | 0.388 | 0.388 | 0.388   | 0.388 | 0.388 | 0.388 | 0.388 | 0.000  | 30.000     | 30.000     | 30.000      | 30.000     |
| 22    | 0   | 22   | 0   | 0   | 0   | POST   | /api/chair/activity                                  | 0.044 | 0.660 | 7.888   | 0.359 | 0.644 | 0.652 | 0.660 | 0.237  | 0.000      | 0.000      | 0.000       | 0.000      |
| 86    | 0   | 86   | 0   | 0   | 0   | GET    | /api/owner/sales                                     | 0.028 | 1.068 | 30.184  | 0.351 | 0.636 | 0.680 | 1.068 | 0.209  | 375.000    | 9024.000   | 46166.000   | 536.814    |
| 1965  | 0   | 1965 | 0   | 0   | 0   | POST   | /api/chair/coordinate                                | 0.016 | 1.328 | 595.289 | 0.303 | 0.536 | 0.628 | 0.844 | 0.173  | 29.000     | 29.000     | 56985.000   | 29.000     |
| 29    | 0   | 29   | 0   | 0   | 0   | POST   | /api/app/rides                                       | 0.072 | 0.884 | 8.740   | 0.301 | 0.656 | 0.740 | 0.884 | 0.218  | 51.000     | 52.000     | 1500.000    | 51.724     |
