+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                        URI                         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)  | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+----------------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+------------+------------+-------------+------------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                                    | 13.332 | 13.332 | 13.332  | 13.332 | 13.332 | 13.332 | 13.332 | 0.000  | 17.000     | 17.000     | 17.000      | 17.000     |
| 19    | 0   | 19   | 0   | 0   | 0   | GET    | /api/app/nearby-chairs                             | 0.628  | 1.268  | 18.168  | 0.956  | 1.224  | 1.268  | 1.268  | 0.186  | 42.000     | 930.000    | 4761.000    | 250.579    |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/payment-methods                           | 0.128  | 0.576  | 4.028   | 0.403  | 0.572  | 0.576  | 0.576  | 0.185  | 0.000      | 0.000      | 0.000       | 0.000      |
| 513   | 0   | 513  | 0   | 0   | 0   | POST   | /api/chair/coordinate                              | 0.060  | 1.092  | 200.662 | 0.391  | 0.608  | 0.764  | 0.996  | 0.181  | 29.000     | 29.000     | 14877.000   | 29.000     |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/activity                                | 0.064  | 0.588  | 7.364   | 0.368  | 0.580  | 0.584  | 0.588  | 0.182  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCTC5RTZFAXEX5Y2Y7ND9/status | 0.328  | 0.328  | 0.328   | 0.328  | 0.328  | 0.328  | 0.328  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 982   | 0   | 973  | 0   | 9   | 0   | GET    | /api/app/notification                              | 0.020  | 0.936  | 306.352 | 0.312  | 0.524  | 0.592  | 0.728  | 0.157  | 0.000      | 457.000    | 403844.000  | 411.246    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales?                                  | 0.292  | 0.292  | 0.292   | 0.292  | 0.292  | 0.292  | 0.292  | 0.000  | 9183.000   | 9183.000   | 9183.000    | 9183.000   |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/rides                                     | 0.156  | 0.460  | 2.812   | 0.281  | 0.348  | 0.460  | 0.460  | 0.085  | 51.000     | 52.000     | 516.000     | 51.600     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/owner/sales                                   | 0.240  | 0.240  | 0.240   | 0.240  | 0.240  | 0.240  | 0.240  | 0.000  | 9017.000   | 9017.000   | 9017.000    | 9017.000   |
| 22    | 0   | 22   | 0   | 0   | 0   | GET    | /api/app/rides                                     | 0.012  | 0.696  | 3.984   | 0.181  | 0.416  | 0.540  | 0.696  | 0.192  | 12.000     | 2158.000   | 4162.000    | 189.182    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCT53RZPBCPF5GRPKBVF2/status | 0.156  | 0.156  | 0.156   | 0.156  | 0.156  | 0.156  | 0.156  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 671   | 0   | 670  | 0   | 1   | 0   | GET    | /api/chair/notification                            | 0.004  | 1.092  | 101.507 | 0.151  | 0.316  | 0.388  | 0.668  | 0.136  | 0.000      | 268.000    | 81610.000   | 121.624    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCT99EWQ81GBY0W1BADVA/status | 0.128  | 0.128  | 0.128   | 0.128  | 0.128  | 0.128  | 0.128  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCVKQ5Q8YJFXGWRRX648J/status | 0.100  | 0.100  | 0.100   | 0.100  | 0.100  | 0.100  | 0.100  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 91    | 0   | 91   | 0   | 0   | 0   | GET    | /api/owner/chairs                                  | 0.012  | 0.364  | 7.848   | 0.086  | 0.176  | 0.228  | 0.364  | 0.068  | 588.000    | 19007.000  | 90492.000   | 994.418    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCS1E4MDD13DFXKAPKNFR/status | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCS2H7CX3YB538D0FS77D/status | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCT31QP17Q1ASFDKE14BC/status | 0.064  | 0.064  | 0.064   | 0.064  | 0.064  | 0.064  | 0.064  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCSK5QR4YB7Z03KSPJJQ7/status | 0.064  | 0.064  | 0.064   | 0.064  | 0.064  | 0.064  | 0.064  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCT342HY3EB77B5BP2S33/status | 0.060  | 0.060  | 0.060   | 0.060  | 0.060  | 0.060  | 0.060  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 14    | 0   | 14   | 0   | 0   | 0   | POST   | /api/app/rides/estimated-fare                      | 0.008  | 0.256  | 0.756   | 0.054  | 0.120  | 0.256  | 0.256  | 0.065  | 26.000     | 29.000     | 395.000     | 28.214     |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/chair/rides/01K09BCSGTE6WVA7BVKB1KPFH6/status | 0.048  | 0.048  | 0.048   | 0.048  | 0.048  | 0.048  | 0.048  | 0.000  | 0.000      | 0.000      | 0.000       | 0.000      |
| 20    | 0   | 20   | 0   | 0   | 0   | POST   | /api/chair/chairs                                  | 0.012  | 0.032  | 0.348   | 0.017  | 0.024  | 0.024  | 0.032  | 0.005  | 75.000     | 75.000     | 1500.000    | 75.000     |
| 10    | 0   | 10   | 0   | 0   | 0   | POST   | /api/app/users                                     | 0.012  | 0.020  | 0.148   | 0.015  | 0.016  | 0.020  | 0.020  | 0.003  | 86.000     | 86.000     | 860.000     | 86.000     |
| 5     | 0   | 5    | 0   | 0   | 0   | POST   | /api/owner/owners                                  | 0.012  | 0.016  | 0.064   | 0.013  | 0.016  | 0.016  | 0.016  | 0.002  | 125.000    | 125.000    | 625.000     | 125.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /images/top-bg.png                                 | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 549793.000 | 549793.000 | 549793.000  | 549793.000 |
| 1725  | 0   | 1721 | 0   | 0   | 4   | GET    | /api/internal/matching                             | 0.008  | 0.580  | 10.236  | 0.006  | 0.008  | 0.008  | 0.048  | 0.024  | 0.000      | 69.000     | 267.000     | 0.155      |
| 125   | 0   | 16   | 109 | 0   | 0   | GET    | /assets/components-Cbm4tYXz.js                     | 0.000  | 0.008  | 0.023   | 0.000  | 0.000  | 0.000  | 0.005  | 0.001  | 0.000      | 184569.000 | 2953104.000 | 23624.832  |
